epoch: 0, loss: 2.292454719543457
epoch: 1, loss: 2.2964718341827393
epoch: 2, loss: 2.272367000579834
epoch: 3, loss: 2.265559434890747
epoch: 4, loss: 2.2557082176208496
epoch: 5, loss: 2.2432398796081543
epoch: 6, loss: 2.2396914958953857
epoch: 7, loss: 2.220080614089966
epoch: 8, loss: 2.2200262546539307
epoch: 9, loss: 2.2038686275482178
epoch: 10, loss: 2.1871988773345947
epoch: 11, loss: 2.1858136653900146
epoch: 12, loss: 2.136194944381714
epoch: 13, loss: 2.1184608936309814
epoch: 14, loss: 2.139007329940796
epoch: 15, loss: 2.10200834274292
epoch: 16, loss: 2.0815181732177734
epoch: 17, loss: 2.0667147636413574
epoch: 18, loss: 2.086211681365967
epoch: 19, loss: 2.0399866104125977
准确率: 0.4846
