Date,MaxTemp,MinTemp,MeanTemp
1942/7/1,25.55555556,22.22222222,23.88888889
1942/7/2,28.88888889,21.66666667,25.55555556
1942/7/3,26.11111111,22.22222222,24.44444444
1942/7/4,26.66666667,22.22222222,24.44444444
1942/7/5,26.66666667,21.66666667,24.44444444
1942/7/6,26.66666667,21.66666667,24.44444444
1942/7/7,28.33333333,22.77777778,25.55555556
1942/7/8,26.66666667,22.22222222,24.44444444
1942/7/9,27.22222222,22.77777778,25
1942/7/10,25.55555556,21.66666667,23.33333333
1942/7/11,25.55555556,21.66666667,23.33333333
1942/7/12,24.44444444,22.22222222,23.33333333
1942/7/13,26.11111111,21.66666667,23.88888889
1942/7/14,26.11111111,22.22222222,24.44444444
1942/7/15,25.55555556,22.77777778,24.44444444
1942/7/16,26.11111111,21.11111111,23.33333333
1942/7/17,28.33333333,22.22222222,25.55555556
1942/7/18,26.66666667,21.11111111,23.88888889
1942/7/19,27.77777778,21.66666667,24.44444444
1942/7/20,26.11111111,20,23.33333333
1942/7/21,24.44444444,21.66666667,23.33333333
1942/7/22,24.44444444,21.11111111,22.77777778
1942/7/23,26.66666667,20.55555556,23.33333333
1942/7/24,27.22222222,18.88888889,23.33333333
1942/7/25,27.22222222,19.44444444,23.33333333
1942/7/26,25.55555556,19.44444444,22.22222222
1942/7/27,25.55555556,19.44444444,22.77777778
1942/7/28,26.66666667,19.44444444,23.33333333
1942/7/29,26.66666667,19.44444444,23.33333333
1942/7/30,27.22222222,19.44444444,23.33333333
1942/7/31,27.22222222,19.44444444,23.33333333
1942/8/1,26.11111111,20,23.33333333
1942/8/2,24.44444444,20.55555556,22.22222222
1942/8/3,24.44444444,20.55555556,22.22222222
1942/8/4,26.66666667,21.11111111,23.88888889
1942/8/5,26.66666667,21.11111111,23.88888889
1942/8/6,24.44444444,21.66666667,23.33333333
1942/8/7,24.44444444,21.11111111,22.77777778
1942/8/8,26.11111111,20.55555556,23.33333333
1942/8/9,26.11111111,20.55555556,23.33333333
1942/8/10,27.22222222,21.66666667,24.44444444
1942/8/11,25,21.66666667,23.33333333
1942/8/12,25.55555556,20.55555556,23.33333333
1942/8/13,25.55555556,20.55555556,23.33333333
1942/8/14,25.55555556,20,22.77777778
1942/8/15,25.55555556,17.77777778,21.66666667
1942/8/16,25.55555556,19.44444444,22.22222222
1942/8/17,25.55555556,20,22.77777778
1942/8/18,26.11111111,20.55555556,23.33333333
1942/8/19,27.77777778,20.55555556,24.44444444
1942/8/20,23.88888889,20.55555556,22.22222222
1942/8/21,32.77777778,20,23.33333333
1942/8/22,27.22222222,20.55555556,23.33333333
1942/8/23,25,20.55555556,22.77777778
1942/8/24,27.77777778,20.55555556,24.44444444
1942/8/25,26.66666667,20,23.33333333
1942/8/26,27.22222222,20.55555556,23.88888889
1942/8/27,27.22222222,20.55555556,23.88888889
1942/8/28,27.22222222,20.55555556,23.88888889
1942/8/29,25,21.11111111,23.33333333
1942/8/30,27.22222222,20.55555556,23.88888889
1942/8/31,27.22222222,21.11111111,23.88888889
1942/9/1,27.22222222,21.11111111,24.44444444
1942/9/2,27.22222222,22.22222222,25
1942/9/3,27.22222222,21.11111111,24.44444444
1942/9/4,27.22222222,21.11111111,24.44444444
1942/9/5,27.22222222,22.22222222,24.44444444
1942/9/6,26.66666667,22.22222222,24.44444444
1942/9/7,26.66666667,21.66666667,24.44444444
1942/9/8,27.22222222,21.11111111,24.44444444
1942/9/9,26.66666667,21.66666667,24.44444444
1942/9/10,28.33333333,21.11111111,24.44444444
1942/9/11,26.11111111,21.11111111,23.33333333
1942/9/12,27.22222222,21.66666667,24.44444444
1942/9/13,27.22222222,21.66666667,24.44444444
1942/9/14,27.77777778,22.77777778,25.55555556
1942/9/15,27.77777778,22.77777778,25.55555556
1942/9/16,30,21.66666667,25.55555556
1942/9/17,27.77777778,22.22222222,25
1942/9/18,31.11111111,21.11111111,26.11111111
1942/9/19,34.44444444,22.22222222,28.33333333
1942/9/20,30.55555556,21.66666667,26.11111111
1942/9/21,29.44444444,22.22222222,26.11111111
1942/9/22,30.55555556,22.22222222,26.66666667
1942/9/23,26.11111111,23.33333333,25
