epoch: 0, loss: 2.269846200942993
epoch: 1, loss: 2.2373392581939697
epoch: 2, loss: 2.2064716815948486
epoch: 3, loss: 2.1431586742401123
epoch: 4, loss: 2.0593976974487305
epoch: 5, loss: 1.9981955289840698
epoch: 6, loss: 1.872147560119629
epoch: 7, loss: 1.7110381126403809
epoch: 8, loss: 1.6549867391586304
epoch: 9, loss: 1.6160513162612915
epoch: 10, loss: 1.4525195360183716
epoch: 11, loss: 1.4986234903335571
epoch: 12, loss: 1.3420110940933228
epoch: 13, loss: 1.2714298963546753
epoch: 14, loss: 1.2285165786743164
epoch: 15, loss: 1.052031397819519
epoch: 16, loss: 1.0953267812728882
epoch: 17, loss: 1.1095236539840698
epoch: 18, loss: 0.9251072406768799
epoch: 19, loss: 0.9295387268066406
准确率: 0.5735
