"comment_time","content","created_at","douban_comment_id","douban_id","douban_user_avatar","douban_user_nickname","douban_user_url","id","rating","updated_at","votes","user_id","user_md5"
"2018-09-05 19:42:07","480p，画质不高，黑白，y","2019-09-06 19:36:59","1359352573","5113101","https://img3.doubanio.com/icon/u150451634-3.jpg","恋丶你灬","https://www.douban.com/people/150451634/","4108237","2","2019-09-06 19:36:59","0","150451634","0ab7e3efacd56983f16503572d2b9915"
"2019-07-09 14:52:07","毫无看点，黑白画质，一个男人孤独的心理情景历程，疯疯癫癫，没有任何恐怖的成分，这应该是剧情片吧.","2019-09-06 19:36:59","1598245094","5113101","https://img1.doubanio.com/icon/u167890396-48.jpg","小学生的爹","https://www.douban.com/people/167890396/","4108238","1","2019-09-06 19:36:59","0","167890396","84dfd3f91dd85ea105bc74a4f0d7a067"
"2010-11-05 22:15:44","上吊那裡超好笑，可惜最後報告近況的旁白大扣分","2019-09-06 19:36:59","311937819","3718526","https://img3.doubanio.com/icon/u26444388-4.jpg","eatshit","https://www.douban.com/people/e.a.t.s.h.i.t/","4108239","3","2019-09-06 19:36:59","0","e.a.t.s.h.i.t","c9a47fd59b55967ceac07cac6d5f270c"
"2010-06-20 02:12:50","上海国际电影节观摩片","2019-09-06 19:36:59","262536568","3718526","https://img3.doubanio.com/icon/u40952730-21.jpg","密斯sini","https://www.douban.com/people/40952730/","4108240","","2019-09-06 19:36:59","0","40952730","35d3d5a52a7515c2ca6bb4d8e965149b"
"2011-04-09 22:10:13","！","2019-09-06 19:36:59","376372407","3718526","https://img3.doubanio.com/icon/u47555586-5.jpg","Tiana","https://www.douban.com/people/47555586/","4108241","","2019-09-06 19:36:59","0","47555586","54bfe88b57d8a3caea2637e62d182cf7"
"2011-11-14 22:31:02","那些不同人们的生活状态真实且残酷。描述这类人生活的片子多了，有点不太敢去德国了，生怕那里的人心底里都有点歇斯底里。觉得这部片子是我眼中的欧洲手法和好莱坞手法的结合。故事的处理很欧洲，可是一些关键的镜头处理就很好莱坞。可惜不如有些相似类型的《最后一次心动》给我的震撼大。","2019-09-06 19:36:59","457663846","3718526","https://img3.doubanio.com/icon/u47095411-30.jpg","Bergwolke","https://www.douban.com/people/claudiayao9254/","4108242","4","2019-09-06 19:36:59","0","claudiayao9254","18cbf971bdf17336056674bb8fad7ea2"
"2010-11-09 12:41:11","生活用最残酷的方式让你笑，笑得哭出来。","2019-09-06 19:36:59","313277849","3718526","https://img3.doubanio.com/icon/u4034225-73.jpg","El Guaje","https://www.douban.com/people/charleycheung/","4108243","4","2019-09-06 19:36:59","0","charleycheung","47e69de0d68e6a4db159bc29301caece"
"2014-04-19 01:30:48","连这个竟然都看了...","2019-09-06 19:36:59","798211658","10514820","https://img3.doubanio.com/icon/u4028464-5.jpg","黑手道空段","https://www.douban.com/people/4028464/","4108244","3","2019-09-06 19:36:59","1","4028464","86dd268419a02513163814b3650e4cac"
"2012-09-22 12:52:36","我不知道那时候为什么看了这么多香港口水片……","2019-09-06 19:36:59","582827065","10514820","https://img3.doubanio.com/icon/u45973479-26.jpg","欢喜","https://www.douban.com/people/huanxifo/","4108245","3","2019-09-06 19:36:59","5","huanxifo","93ce30280bf1b116041a721906a2f64f"
"2010-05-04 13:02:36","小姐，你的熊掉了 小姐，你的熊掉了 小姐，你的熊掉了 我发现我建条目上瘾了！！","2019-09-06 19:36:59","247354289","4824996","https://img3.doubanio.com/icon/u1769952-121.jpg","不是水果宾治武士，是囧小太郎","https://www.douban.com/people/1769952/","4108246","4","2019-09-06 19:36:59","15","1769952","946c40119cf6ac3f9a9e6e645a0fe23e"
"2012-07-25 22:03:32","全职主妇侦探，不，是强盗。","2019-09-06 19:36:59","560603476","4824996","https://img3.doubanio.com/icon/u49528832-1.jpg","猫知道","https://www.douban.com/people/49528832/","4108247","5","2019-09-06 19:36:59","1","49528832","c98155000a3420758910ac19414b7118"
"2011-01-26 17:18:50","哈哈哈哈哈哈哈！师父果然威武！","2019-09-06 19:36:59","345508641","4824996","https://img3.doubanio.com/icon/u4069708-91.jpg","南條某葉","https://www.douban.com/people/yeshunjia/","4108248","5","2019-09-06 19:36:59","0","yeshunjia","bd3ba3fc3a4f3c925ef3dfe1b8ecec38"
"2012-09-15 02:10:06","整个系列，都不得不看","2019-09-06 19:36:59","580330707","10514820","https://img3.doubanio.com/icon/u62244401-6.jpg","王浊安","https://www.douban.com/people/62244401/","4108249","","2019-09-06 19:36:59","2","62244401","9762599d291c145ec19a666d4ad67b07"
"2015-05-04 17:23:24","哈哈哈，钱小豪还弄得长发为了更像陈浩南吗","2019-09-06 19:36:59","919041772","10514820","https://img3.doubanio.com/icon/u52873640-23.jpg","朋克大帝","https://www.douban.com/people/52873640/","4108250","2","2019-09-06 19:36:59","0","52873640","e4e41a7765b5fe37bd096aeef97cb113"
"2013-04-10 00:42:31","这拍的是什么垃圾啊，我草","2019-09-06 19:36:59","665120053","10514820","https://img3.doubanio.com/icon/u69815454-3.jpg","极品猪头","https://www.douban.com/people/69815454/","4108251","1","2019-09-06 19:36:59","4","69815454","7a48f067cb5c3ef981fd9d43c6fcd3f7"
"2013-04-17 12:19:50","大爱","2019-09-06 19:36:59","668385831","10514820","https://img3.doubanio.com/icon/u48226383-11.jpg","夏草","https://www.douban.com/people/48226383/","4108252","4","2019-09-06 19:36:59","1","48226383","5c4a77c60e97a1dd0845fbfd17f58411"
"2017-07-03 22:44:31","真是太缺乏诚意了！负五星。","2019-09-06 19:36:59","1210679231","10514820","https://img3.doubanio.com/icon/u73515290-2.jpg","西门吹花","https://www.douban.com/people/73515290/","4108253","1","2019-09-06 19:36:59","0","73515290","b3e4ac4a79a0b996d5fb65c23acf4690"
